Parameter Name,Is Instance,Is Reporting,Is Shared,Storage Type,Data Type,Formula,GUID,Value (3082G),Units (3082G)
door_top_margin,True,False,False,Double,autodesk.spec.aec:length-2.0.0,"1.72""",,0.043688 (0.1433 ft),m
door_hole_top_hinge_hole_1_x_coor_from_door_hinge_edge,True,False,True,Double,autodesk.spec.aec:length-2.0.0,"0.968""",,0.024587 (0.0807 ft),m
door_exterior_right_routing,True,False,True,Integer,autodesk.spec:spec.bool-1.0.0,"if(door_swing_direction_out, 1 = 0, 1 = 1)",,True,Boolean
door_thickness,True,False,True,Double,autodesk.spec.aec:length-2.0.0,"0.75""",,0.019050 (0.0625 ft),m
hinge_hole_diameter,True,False,False,Double,autodesk.spec.aec:length-2.0.0,"0.5""",,0.012700 (0.0417 ft),m
door_height,True,False,True,Double,autodesk.spec.aec:length-2.0.0,"if(door_height_desired < 72"", 72"", if(door_height_desired > 96"", 96"", door_height_desired))",,2.438400 (8.0000 ft),m
door_hole_mid_bottom_hinge_hole_1_x_coor_from_door_hinge_edge,True,False,True,Double,autodesk.spec.aec:length-2.0.0,"0.968""",,0.024587 (0.0807 ft),m
mid_bottom_hinge_offset,True,False,True,Double,autodesk.spec.aec:length-2.0.0,"if(and(door_floor_clearance = 1"", not(door_wall_post_hinging)), 2 * 0.823"", 0"")",,0.041808 (0.1372 ft),m
door_hole_mid_top_hinge_hole_1_x_coor_from_door_hinge_edge,True,False,True,Double,autodesk.spec.aec:length-2.0.0,"0.968""",,0.024587 (0.0807 ft),m
URL,False,False,False,String,autodesk.spec.string:url-2.0.0,,,,
door_material,False,False,False,ElementId,autodesk.spec.aec:material-1.0.0,,,238,Element ID
door_hole_top_hinge_hole_1_y_coor_from_door_top_edge,True,False,True,Double,autodesk.spec.aec:length-2.0.0,door_top_margin,,0.043688 (0.1433 ft),m
Type IFC Predefined Type,False,False,False,String,autodesk.spec:spec.string-2.0.0,,,,
door_hole_bottom_hinge_hole_1_y_coor_from_door_top_edge,True,False,True,Double,autodesk.spec.aec:length-2.0.0,door_hole_mid_bottom_hinge_hole_1_y_coor_from_door_top_edge + inter_hinge_gap + mid_top_hinge_offset,,2.272538 (7.4558 ft),m
door_drilling_face,True,False,True,String,autodesk.spec:spec.string-2.0.0,"if(door_swing_direction_in, ""In"", ""Out"")",,In,Text
door_hole_mid_top_hinge_hole_2_y_coor_from_door_top_edge,True,False,True,Double,autodesk.spec.aec:length-2.0.0,door_hole_mid_top_hinge_hole_1_y_coor_from_door_top_edge + hinge_hole_space,,0.803834 (2.6373 ft),m
Export Type to IFC As,False,False,False,String,autodesk.spec:spec.string-2.0.0,,,,
door_routing_depth,True,False,True,Double,autodesk.spec.aec:length-2.0.0,"0.5""",,0.012700 (0.0417 ft),m
door_hole_mid_top_hinge_hole_1_y_coor_from_door_top_edge,True,False,True,Double,autodesk.spec.aec:length-2.0.0,door_hole_top_hinge_hole_1_y_coor_from_door_top_edge + inter_hinge_gap + mid_top_hinge_offset,,0.765734 (2.5123 ft),m
door_width_desired,True,False,False,Double,autodesk.spec.aec:length-2.0.0,,,0.076200 (0.2500 ft),m
door_hole_bottom_hinge_hole_1_x_coor_from_door_hinge_edge,True,False,True,Double,autodesk.spec.aec:length-2.0.0,"0.968""",,0.024587 (0.0807 ft),m
door_component_id,True,False,True,String,autodesk.spec:spec.string-2.0.0,,,,Text
door_hinge_side_relative_to_room_right,True,False,False,Integer,autodesk.spec:spec.bool-1.0.0,,,True,Boolean
door_exterior_left_routing,True,False,True,Integer,autodesk.spec:spec.bool-1.0.0,"if(door_swing_direction_out, 1 = 0, 1 = 1)",,True,Boolean
Assembly Code,False,False,False,String,autodesk.spec:spec.string-2.0.0,,,,
door_floor_clearance,True,False,True,Double,autodesk.spec.aec:length-2.0.0,"if(door_floor_clearance_desired < 1"", 1"", if(door_floor_clearance_desired > 12"", 12"", door_floor_clearance_desired))",,0.025400 (0.0833 ft),m
door_hinge_side_relative_to_room,True,False,True,String,autodesk.spec:spec.string-2.0.0,"if(door_hinge_side_relative_to_room_left, ""Left"", ""Right"")",,Right,Text
Type Comments,False,False,False,String,autodesk.spec:spec.string-2.0.0,,,,
